Screen MFR,Make,Screen Size,Height,Width,Depth,Weight (LBS)
LH43QMBTBGCXZA,Samsung,43,23.01,38.83,2.23,31.97
10BDL4151T,Philips,10,6.58,10.28,1.14,1.57
LH55WMRWBGCXZA,Samsung,55,31.7,51.3,2,63.71
LH55QMBTBGCXZA,Samsung,55,28.92,49.36,2.23,59.3
BH65T,Samsung,65,33.51,57.73,2.35,81.8
43TNF5J,LG,43,22.01,38.08,1.5,
75UH5J-H,LG,75,37.81,66.25,2.5,51.2
43HT3WJ-B,LG,43,23.85,38.31,1.94,
55TNF5J,LG,55,28,48.5,1.54,16.8
55CT5WJ,LG,55,30.3,49.8,2.43,57.32
98UM5J-B,LG,98,49.33,86.54,3.13,78
110UM5J-B,LG,110,55.43,97.4,3.9,242.51
98UM5K,LG,98,49.3,86.5,3.13,78
65UH5J-H,LG,65,33.23,57.22,1.57,28.2
75UH5J-H,LG,75,37.81,66.24,2.28,41.5
75UH5J-M,LG,75,37.81,66.24,2.28,41.5
86UH5J-H,LG,86,43.19,75.83,2.39,49
98UH5J-H,LG,98,49.09,86.29,3.3,81.1
65BDL3652T/00,Philips,65,34.23,58.83,3.16,
86BDL3652T/00,Philips,86,44.58,77.2,3.17,163.8
86BDL4152T/00,Philips,86,44.4,77.05,4.13,212.1
55BDL3452T/00,Philips,55,29.27,50.1,2.97,
75BDL3652T/00,Philips,75,39.12,67.54,3.18,116.85
TH-50CQ1U,Panasonic,50,25.7,44.3,3.1,37.5
E914767,Elo,65,34.08,58.69,3.17,111.14
E666224,Elo,50,26.88,45.75,2.83,31.68
M1-650DS-A1,MicroTouch,65,33.77,58.39,3.11,112.88
URP65-T,Planar,65,33.8,58.4,2.8,110.2
URP98-ERO-T,Planar,98,50.3,87.5,3.9,278
TM-65-FX,Team Board,65,33.6,58.14,3.24,
LSCB018-RK-163,LG,163,79.75,141.8,1.62,
32TNF5J-B,LG,32,419.4,723,39.1,5.6
49XS4J-B,LG,49,24.66,43.02,3.29,45.9
55XS4J-B,LG,55,27.93,48.64,3.36,57.32
49XE4F-M,LG,49,25.8,45.4,3.46,70.5
TD3207,Viewsonic,32,17.76,29.41,2.52,12.8